date_of_record,month,season,station_name,state,district,avg_temp,min_temp,max_temp,wind_speed,air_pressure,elevation,latitude,longitude,rainfall
2021-01-02,January,Winter,Gulmarg,JK,Baramulla,-2.2,-6.6,-0.8,2.2,1020.0,2652,34.05,74.4,0.1
2021-01-03,January,Winter,Gulmarg,JK,Baramulla,-3.6,-4.6,-1.8,3.7,1019.5,2652,34.05,74.4,4.4
2021-01-04,January,Winter,Gulmarg,JK,Baramulla,-3.0,-4.5,-1.1,2.1,1022.0,2652,34.05,74.4,2.3
2021-01-05,January,Winter,Gulmarg,JK,Baramulla,-3.3,-5.1,-1.2,2.8,1015.6,2652,34.05,74.4,35.0
2021-01-06,January,Winter,Gulmarg,JK,Baramulla,-3.9,-8.3,-1.0,3.4,1015.3,2652,34.05,74.4,25.5
2021-01-07,January,Winter,Gulmarg,JK,Baramulla,-7.5,-10.8,-1.6,5.0,1015.1,2652,34.05,74.4,0.0
2021-01-08,January,Winter,Gulmarg,JK,Baramulla,-9.2,-13.0,-3.0,5.7,1012.9,2652,34.05,74.4,0.0
2021-01-09,January,Winter,Gulmarg,JK,Baramulla,-9.3,-13.1,-4.0,4.1,1015.3,2652,34.05,74.4,0.0
2021-01-10,January,Winter,Gulmarg,JK,Baramulla,-6.8,-12.9,-0.2,3.6,1015.8,2652,34.05,74.4,0.0
2021-01-11,January,Winter,Gulmarg,JK,Baramulla,-4.4,-9.6,-0.8,3.4,1017.0,2652,34.05,74.4,0.0
2021-01-12,January,Winter,Gulmarg,JK,Baramulla,-1.8,-9.2,0.5,2.8,1018.6,2652,34.05,74.4,0.0
2021-01-13,January,Winter,Gulmarg,JK,Baramulla,1.2,-7.6,3.6,2.4,1017.7,2652,34.05,74.4,0.0
2021-01-14,January,Winter,Gulmarg,JK,Baramulla,2.8,-6.0,4.1,2.1,1017.7,2652,34.05,74.4,0.0
2021-01-15,January,Winter,Gulmarg,JK,Baramulla,2.4,-4.6,4.5,2.6,1014.9,2652,34.05,74.4,0.0
2021-01-16,January,Winter,Gulmarg,JK,Baramulla,1.9,-4.0,3.8,1.8,1016.2,2652,34.05,74.4,0.0
2021-01-17,January,Winter,Gulmarg,JK,Baramulla,1.7,-3.0,4.0,3.0,1015.0,2652,34.05,74.4,0.0
2021-01-18,January,Winter,Gulmarg,JK,Baramulla,-2.0,-6.8,2.0,3.2,1018.3,2652,34.05,74.4,0.0
2021-01-19,January,Winter,Gulmarg,JK,Baramulla,-3.4,-5.2,-0.2,4.0,1017.5,2652,34.05,74.4,0.0
2021-01-20,January,Winter,Gulmarg,JK,Baramulla,-2.4,-4.4,-0.4,3.4,1018.5,2652,34.05,74.4,0.0
2021-01-21,January,Winter,Gulmarg,JK,Baramulla,-0.4,-2.6,2.0,4.7,1018.3,2652,34.05,74.4,0.0
2021-01-22,January,Winter,Gulmarg,JK,Baramulla,-4.0,-7.3,-0.2,7.1,1011.6,2652,34.05,74.4,0.5
